Place_Id,Place_Name,Description,Category,City,desc_length,combined_text,processed_text
1,Alun-Alun Bandung,"Ruang terbuka publik di pusat Kota Bandung yang memiliki taman rumput sintetis, area bersantai, dan menjadi ikon wisata kota.",Taman Kota,Kota Bandung,125,"Ruang terbuka publik di pusat Kota Bandung yang memiliki taman rumput sintetis, area bersantai, dan menjadi ikon wisata kota. Taman Kota",ruang buka publik pusat kota bandung milik taman rumput sintetis area santa jadi ikon wisata kota taman kota
2,Gedung Sate,Bangunan bersejarah sekaligus kantor pemerintahan Jawa Barat dengan arsitektur khas dan area wisata edukasi.,Wisata Sejarah,Kota Bandung,108,Bangunan bersejarah sekaligus kantor pemerintahan Jawa Barat dengan arsitektur khas dan area wisata edukasi. Wisata Sejarah,bangun sejarah sekaligus kantor perintah jawa barat arsitektur khas area wisata edukasi wisata sejarah
3,Jalan Braga,"Kawasan jalan bersejarah dengan bangunan kolonial, kafe, galeri seni, dan pusat wisata malam di Bandung.",Wisata Sejarah,Kota Bandung,104,"Kawasan jalan bersejarah dengan bangunan kolonial, kafe, galeri seni, dan pusat wisata malam di Bandung. Wisata Sejarah",kawasan jalan sejarah bangun kolonial kafe galeri seni pusat wisata malam bandung wisata sejarah
4,Trans Studio Bandung,Taman hiburan indoor terbesar di Bandung yang menawarkan berbagai wahana permainan dan atraksi keluarga.,Taman Hiburan,Kota Bandung,104,Taman hiburan indoor terbesar di Bandung yang menawarkan berbagai wahana permainan dan atraksi keluarga. Taman Hiburan,taman hibur indoor besar bandung tawar bagai wahana main atraksi keluarga taman hibur
5,Saung Angklung Udjo,"Tempat wisata budaya yang menampilkan pertunjukan angklung, seni tradisional Sunda, dan edukasi budaya.",Wisata Budaya,Kota Bandung,103,"Tempat wisata budaya yang menampilkan pertunjukan angklung, seni tradisional Sunda, dan edukasi budaya. Wisata Budaya",tempat wisata budaya tampil tunjuk angklung seni tradisional sunda edukasi budaya wisata budaya
6,Museum Geologi,"Museum edukasi yang menyimpan koleksi batuan, fosil, dan informasi sejarah geologi Indonesia.",Museum,Kota Bandung,93,"Museum edukasi yang menyimpan koleksi batuan, fosil, dan informasi sejarah geologi Indonesia. Museum",museum edukasi simpan koleksi batu fosil informasi sejarah geologi indonesia museum
7,Museum Konferensi Asia Afrika,Museum sejarah yang menampilkan dokumentasi Konferensi Asia Afrika dan perjuangan negara-negara Asia-Afrika.,Museum,Kota Bandung,108,Museum sejarah yang menampilkan dokumentasi Konferensi Asia Afrika dan perjuangan negara-negara Asia-Afrika. Museum,museum sejarah tampil dokumentasi konferensi asia afrika juang negaranegara asiaafrika museum
8,Taman Balai Kota,"Taman kota di area Balai Kota Bandung dengan fasilitas bermain, kolam, dan ruang santai masyarakat.",Taman Kota,Kota Bandung,99,"Taman kota di area Balai Kota Bandung dengan fasilitas bermain, kolam, dan ruang santai masyarakat. Taman Kota",taman kota area balai kota bandung fasilitas main kolam ruang santai masyarakat taman kota
9,Taman Film,Taman tematik dengan layar videotron besar yang digunakan untuk menonton film dan berkumpul komunitas.,Taman Kota,Kota Bandung,102,Taman tematik dengan layar videotron besar yang digunakan untuk menonton film dan berkumpul komunitas. Taman Kota,taman tematik layar videotron besar guna tonton film kumpul komunitas taman kota
10,Taman Lansia,"Taman hijau yang nyaman untuk olahraga ringan, bersantai, dan rekreasi keluarga di pusat kota.",Taman Kota,Kota Bandung,94,"Taman hijau yang nyaman untuk olahraga ringan, bersantai, dan rekreasi keluarga di pusat kota. Taman Kota",taman hijau nyaman olahraga ringan santa rekreasi keluarga pusat kota taman kota
11,Taman Jomblo,Taman tematik dengan desain kursi unik di bawah jembatan layang yang populer sebagai spot foto.,Taman Kota,Kota Bandung,95,Taman tematik dengan desain kursi unik di bawah jembatan layang yang populer sebagai spot foto. Taman Kota,taman tematik desain kursi unik bawah jembatan layang populer spot foto taman kota
12,Teras Cikapundung BBWS,"Area wisata sungai dengan taman, jembatan, dan ruang publik di bantaran Sungai Cikapundung.",Wisata Alam,Kota Bandung,91,"Area wisata sungai dengan taman, jembatan, dan ruang publik di bantaran Sungai Cikapundung. Wisata Alam",area wisata sungai taman jembatan ruang publik bantaran sungai cikapundung wisata alam
13,Chinatown Bandung,"Kawasan wisata tematik bernuansa budaya Tionghoa dengan kuliner, dekorasi klasik, dan spot foto.",Wisata Budaya,Kota Bandung,96,"Kawasan wisata tematik bernuansa budaya Tionghoa dengan kuliner, dekorasi klasik, dan spot foto. Wisata Budaya",kawasan wisata tematik nuansa budaya tionghoa kuliner dekorasi klasik spot foto wisata budaya
14,Bandung Planning Gallery,Galeri edukasi yang menampilkan perkembangan tata kota dan perencanaan Kota Bandung secara interaktif.,Wisata Edukasi,Kota Bandung,102,Galeri edukasi yang menampilkan perkembangan tata kota dan perencanaan Kota Bandung secara interaktif. Wisata Edukasi,galeri edukasi tampil kembang tata kota rencana kota bandung interaktif wisata edukasi
15,Nu Art Studio,Galeri seni dan studio karya patung milik Nyoman Nuarta yang menampilkan seni modern dan kontemporer.,Wisata Seni,Kota Bandung,101,Galeri seni dan studio karya patung milik Nyoman Nuarta yang menampilkan seni modern dan kontemporer. Wisata Seni,galeri seni studio karya patung milik nyoman nuarta tampil seni modern kontemporer wisata seni
16,Amazing Artgames,"Tempat wisata interaktif dengan berbagai wahana seni visual, permainan, dan spot foto kreatif.",Taman Hiburan,Kota Bandung,94,"Tempat wisata interaktif dengan berbagai wahana seni visual, permainan, dan spot foto kreatif. Taman Hiburan",tempat wisata interaktif bagai wahana seni visual main spot foto kreatif taman hibur
17,Paris Van Java Resort Lifestyle Place,"Pusat perbelanjaan modern dengan konsep outdoor, kuliner, hiburan, dan area rekreasi keluarga.",Pusat Perbelanjaan,Kota Bandung,94,"Pusat perbelanjaan modern dengan konsep outdoor, kuliner, hiburan, dan area rekreasi keluarga. Pusat Perbelanjaan",pusat belanja modern konsep outdoor kuliner hibur area rekreasi keluarga pusat belanja
18,Paris Van Java Rooftop Garden,Area taman di rooftop Paris Van Java yang menyediakan ruang santai dan spot foto terbuka.,Taman Hiburan,Kota Bandung,89,Area taman di rooftop Paris Van Java yang menyediakan ruang santai dan spot foto terbuka. Taman Hiburan,area taman rooftop paris van java sedia ruang santai spot foto buka taman hibur
19,Cihampelas Walk,Pusat perbelanjaan dan hiburan populer dengan konsep semi outdoor di kawasan Cihampelas.,Pusat Perbelanjaan,Kota Bandung,88,Pusat perbelanjaan dan hiburan populer dengan konsep semi outdoor di kawasan Cihampelas. Pusat Perbelanjaan,pusat belanja hibur populer konsep semi outdoor kawasan cihampelas pusat belanja
20,Skywalk Cihampelas,Jalur pejalan kaki modern di kawasan Cihampelas yang menjadi tempat wisata kota dan pusat kuliner.,Wisata Sejarah,Kota Bandung,98,Jalur pejalan kaki modern di kawasan Cihampelas yang menjadi tempat wisata kota dan pusat kuliner. Wisata Sejarah,jalur pejal kaki modern kawasan cihampelas jadi tempat wisata kota pusat kuliner wisata sejarah
21,Pasar Baru Bandung,"Pusat perdagangan terkenal di Bandung yang menyediakan berbagai produk fashion, tekstil, dan kuliner lokal.",Pusat Perbelanjaan,Kota Bandung,107,"Pusat perdagangan terkenal di Bandung yang menyediakan berbagai produk fashion, tekstil, dan kuliner lokal. Pusat Perbelanjaan",pusat dagang kenal bandung sedia bagai produk fashion tekstil kuliner lokal pusat belanja
22,ITC Kebon Kalapa,"Pusat perbelanjaan yang menawarkan berbagai kebutuhan fashion, elektronik, dan kuliner dengan harga terjangkau.",Pusat Perbelanjaan,Kota Bandung,111,"Pusat perbelanjaan yang menawarkan berbagai kebutuhan fashion, elektronik, dan kuliner dengan harga terjangkau. Pusat Perbelanjaan",pusat belanja tawar bagai butuh fashion elektronik kuliner harga jangkau pusat belanja
23,Bandung Indah Plaza,"Mall modern di pusat Kota Bandung yang menyediakan pusat belanja, hiburan, dan restoran keluarga.",Pusat Perbelanjaan,Kota Bandung,97,"Mall modern di pusat Kota Bandung yang menyediakan pusat belanja, hiburan, dan restoran keluarga. Pusat Perbelanjaan",mall modern pusat kota bandung sedia pusat belanja hibur restoran keluarga pusat belanja
24,23 Paskal Shopping Center,Kawasan perbelanjaan dan kuliner modern dengan konsep outdoor dan area nongkrong populer di Bandung.,Pusat Perbelanjaan,Kota Bandung,100,Kawasan perbelanjaan dan kuliner modern dengan konsep outdoor dan area nongkrong populer di Bandung. Pusat Perbelanjaan,kawasan belanja kuliner modern konsep outdoor area nongkrong populer bandung pusat belanja
25,Braga Citywalk,Pusat hiburan dan belanja yang berada di kawasan bersejarah Braga dengan berbagai tenant modern.,Pusat Perbelanjaan,Kota Bandung,96,Pusat hiburan dan belanja yang berada di kawasan bersejarah Braga dengan berbagai tenant modern. Pusat Perbelanjaan,pusat hibur belanja ada kawasan sejarah braga bagai tenant modern pusat belanja
26,Festival Citylink,"Mall keluarga dengan fasilitas belanja, bioskop, hotel, dan pusat hiburan di Kota Bandung.",Pusat Perbelanjaan,Kota Bandung,90,"Mall keluarga dengan fasilitas belanja, bioskop, hotel, dan pusat hiburan di Kota Bandung. Pusat Perbelanjaan",mall keluarga fasilitas belanja bioskop hotel pusat hibur kota bandung pusat belanja
27,Kiara Artha Park,"Taman wisata modern dengan danau buatan, taman lampu, area budaya, dan pertunjukan air mancur.",Taman Kota,Kota Bandung,94,"Taman wisata modern dengan danau buatan, taman lampu, area budaya, dan pertunjukan air mancur. Taman Kota",taman wisata modern danau buat taman lampu area budaya tunjuk air mancur taman kota
28,Babakan Siliwangi,Kawasan hutan kota di Bandung yang memiliki jalur pedestrian dan suasana alam yang asri.,Wisata Alam,Kota Bandung,88,Kawasan hutan kota di Bandung yang memiliki jalur pedestrian dan suasana alam yang asri. Wisata Alam,kawasan hutan kota bandung milik jalur pedestrian suasana alam asri wisata alam
29,Bandung Zoo,Kebun binatang di Bandung yang memiliki koleksi satwa dan fasilitas edukasi untuk keluarga.,Wisata Edukasi,Kota Bandung,91,Kebun binatang di Bandung yang memiliki koleksi satwa dan fasilitas edukasi untuk keluarga. Wisata Edukasi,kebun binatang bandung milik koleksi satwa fasilitas edukasi keluarga wisata edukasi
30,Karang Setra Waterpark,Tempat wisata air dengan berbagai kolam renang dan wahana permainan keluarga.,Taman Hiburan,Kota Bandung,77,Tempat wisata air dengan berbagai kolam renang dan wahana permainan keluarga. Taman Hiburan,tempat wisata air bagai kolam renang wahana main keluarga taman hibur
31,Lapangan Gasibu,"Ruang terbuka publik yang sering digunakan untuk olahraga, rekreasi, dan kegiatan masyarakat.",Taman Kota,Kota Bandung,93,"Ruang terbuka publik yang sering digunakan untuk olahraga, rekreasi, dan kegiatan masyarakat. Taman Kota",ruang buka publik sering guna olahraga rekreasi giat masyarakat taman kota
32,Stadion Gelora Bandung Lautan Api,Stadion sepak bola terbesar di Bandung yang menjadi markas pertandingan dan kegiatan olahraga besar.,Wisata Olahraga,Kota Bandung,100,Stadion sepak bola terbesar di Bandung yang menjadi markas pertandingan dan kegiatan olahraga besar. Wisata Olahraga,stadion sepak bola besar bandung jadi markas tanding giat olahraga besar wisata olahraga
33,Taman Vanda,Taman kota dengan kolam air mancur dan area duduk yang nyaman di pusat Kota Bandung.,Taman Kota,Kota Bandung,84,Taman kota dengan kolam air mancur dan area duduk yang nyaman di pusat Kota Bandung. Taman Kota,taman kota kolam air mancur area duduk nyaman pusat kota bandung taman kota
34,Taman Merdeka,Ruang terbuka hijau yang digunakan masyarakat untuk bersantai dan beraktivitas di pusat kota.,Taman Kota,Kota Bandung,93,Ruang terbuka hijau yang digunakan masyarakat untuk bersantai dan beraktivitas di pusat kota. Taman Kota,ruang buka hijau guna masyarakat santa aktivitas pusat kota taman kota
35,Taman Citarum,"Taman kota di tepi sungai dengan area bermain, jogging track, dan ruang santai keluarga.",Taman Kota,Kota Bandung,88,"Taman kota di tepi sungai dengan area bermain, jogging track, dan ruang santai keluarga. Taman Kota",taman kota tepi sungai area main jogging track ruang santai keluarga taman kota
36,Taman Veteran,Taman publik dengan suasana rindang yang cocok digunakan untuk rekreasi dan aktivitas santai.,Taman Kota,Kota Bandung,93,Taman publik dengan suasana rindang yang cocok digunakan untuk rekreasi dan aktivitas santai. Taman Kota,taman publik suasana rindang cocok guna rekreasi aktivitas santai taman kota
37,Taman Sukajadi,Ruang terbuka hijau di kawasan Sukajadi yang dimanfaatkan untuk rekreasi warga sekitar.,Taman Kota,Kota Bandung,87,Ruang terbuka hijau di kawasan Sukajadi yang dimanfaatkan untuk rekreasi warga sekitar. Taman Kota,ruang buka hijau kawasan sukajadi manfaat rekreasi warga taman kota
38,Taman Antapani,Taman kota dengan fasilitas olahraga ringan dan area bermain anak di kawasan Antapani.,Taman Kota,Kota Bandung,86,Taman kota dengan fasilitas olahraga ringan dan area bermain anak di kawasan Antapani. Taman Kota,taman kota fasilitas olahraga ringan area main anak kawasan antapani taman kota
39,Taman Arcamanik,"Taman publik yang menyediakan area olahraga, jogging track, dan ruang hijau untuk masyarakat.",Taman Kota,Kota Bandung,93,"Taman publik yang menyediakan area olahraga, jogging track, dan ruang hijau untuk masyarakat. Taman Kota",taman publik sedia area olahraga jogging track ruang hijau masyarakat taman kota
40,Taman Gedebage,Taman kota di kawasan Gedebage yang digunakan sebagai area rekreasi dan aktivitas warga.,Taman Kota,Kota Bandung,88,Taman kota di kawasan Gedebage yang digunakan sebagai area rekreasi dan aktivitas warga. Taman Kota,taman kota kawasan gedebage guna area rekreasi aktivitas warga taman kota
41,Taman Asia Afrika,Taman tematik di pusat Kota Bandung yang memiliki dekorasi landmark negara Asia-Afrika dan area bersantai.,Taman Kota,Kota Bandung,106,Taman tematik di pusat Kota Bandung yang memiliki dekorasi landmark negara Asia-Afrika dan area bersantai. Taman Kota,taman tematik pusat kota bandung milik dekorasi landmark negara asiaafrika area santa taman kota
42,Jalan Asia Afrika,Kawasan jalan bersejarah yang menjadi pusat wisata heritage dan lokasi Konferensi Asia Afrika.,Wisata Sejarah,Kota Bandung,94,Kawasan jalan bersejarah yang menjadi pusat wisata heritage dan lokasi Konferensi Asia Afrika. Wisata Sejarah,kawasan jalan sejarah jadi pusat wisata heritage lokasi konferensi asia afrika wisata sejarah
43,Gedung Merdeka,Gedung bersejarah tempat berlangsungnya Konferensi Asia Afrika yang kini menjadi museum dan objek wisata sejarah.,Wisata Sejarah,Kota Bandung,113,Gedung bersejarah tempat berlangsungnya Konferensi Asia Afrika yang kini menjadi museum dan objek wisata sejarah. Wisata Sejarah,gedung sejarah tempat langsung konferensi asia afrika kini jadi museum objek wisata sejarah wisata sejarah
44,Masjid Raya Bandung,Masjid utama Kota Bandung dengan arsitektur modern dan menara yang dapat digunakan untuk melihat panorama kota.,Wisata Religi,Kota Bandung,111,Masjid utama Kota Bandung dengan arsitektur modern dan menara yang dapat digunakan untuk melihat panorama kota. Wisata Religi,masjid utama kota bandung arsitektur modern menara guna lihat panorama kota wisata religi
45,Museum Sri Baduga,"Museum budaya Jawa Barat yang menyimpan koleksi sejarah, seni, dan budaya Sunda.",Museum,Kota Bandung,80,"Museum budaya Jawa Barat yang menyimpan koleksi sejarah, seni, dan budaya Sunda. Museum",museum budaya jawa barat simpan koleksi sejarah seni budaya sunda museum
46,Museum Pos Indonesia,Museum yang menampilkan sejarah perkembangan layanan pos dan koleksi perangko Indonesia.,Museum,Kota Bandung,88,Museum yang menampilkan sejarah perkembangan layanan pos dan koleksi perangko Indonesia. Museum,museum tampil sejarah kembang layan pos koleksi perangko indonesia museum
47,Museum Barli,Museum seni yang menampilkan karya lukisan dan koleksi seni milik pelukis Barli Sasmitawinata.,Museum,Kota Bandung,94,Museum seni yang menampilkan karya lukisan dan koleksi seni milik pelukis Barli Sasmitawinata. Museum,museum seni tampil karya lukis koleksi seni milik peluk barli sasmitawinata museum
48,Museum Nike Ardilla,Museum yang menyimpan koleksi pribadi dan memorabilia penyanyi Nike Ardilla.,Museum,Kota Bandung,76,Museum yang menyimpan koleksi pribadi dan memorabilia penyanyi Nike Ardilla. Museum,museum simpan koleksi pribadi memorabilia nyanyi nike ardilla museum
49,Taman Musik Centrum,"Taman tematik yang sering digunakan untuk pertunjukan musik, komunitas seni, dan aktivitas kreatif.",Taman Kota,Kota Bandung,99,"Taman tematik yang sering digunakan untuk pertunjukan musik, komunitas seni, dan aktivitas kreatif. Taman Kota",taman tematik sering guna tunjuk musik komunitas seni aktivitas kreatif taman kota
50,Taman Fotografi,Taman publik dengan konsep fotografi dan mural yang menjadi tempat favorit untuk berfoto.,Taman Kota,Kota Bandung,89,Taman publik dengan konsep fotografi dan mural yang menjadi tempat favorit untuk berfoto. Taman Kota,taman publik konsep fotografi mural jadi tempat favorit foto taman kota
51,Taman Sejarah,Taman edukatif dengan kolam bermain dan informasi sejarah Kota Bandung untuk wisata keluarga.,Taman Kota,Kota Bandung,93,Taman edukatif dengan kolam bermain dan informasi sejarah Kota Bandung untuk wisata keluarga. Taman Kota,taman edukatif kolam main informasi sejarah kota bandung wisata keluarga taman kota
52,Taman Tegalega,"Taman kota luas yang memiliki area olahraga, ruang hijau, dan Monumen Bandung Lautan Api.",Taman Kota,Kota Bandung,89,"Taman kota luas yang memiliki area olahraga, ruang hijau, dan Monumen Bandung Lautan Api. Taman Kota",taman kota luas milik area olahraga ruang hijau monumen bandung laut api taman kota
53,Monumen Bandung Lautan Api,Monumen bersejarah yang dibangun untuk mengenang peristiwa Bandung Lautan Api.,Wisata Sejarah,Kota Bandung,78,Monumen bersejarah yang dibangun untuk mengenang peristiwa Bandung Lautan Api. Wisata Sejarah,monumen sejarah bangun kenang peristiwa bandung laut api wisata sejarah
54,Gedung Indonesia Menggugat,Bangunan bersejarah tempat sidang Ir. Soekarno yang kini menjadi museum perjuangan nasional.,Wisata Sejarah,Kota Bandung,92,Bangunan bersejarah tempat sidang Ir. Soekarno yang kini menjadi museum perjuangan nasional. Wisata Sejarah,bangun sejarah tempat sidang ir soekarno kini jadi museum juang nasional wisata sejarah
55,Stadion Siliwangi,Stadion olahraga bersejarah di Bandung yang digunakan untuk pertandingan sepak bola dan kegiatan olahraga.,Wisata Olahraga,Kota Bandung,106,Stadion olahraga bersejarah di Bandung yang digunakan untuk pertandingan sepak bola dan kegiatan olahraga. Wisata Olahraga,stadion olahraga sejarah bandung guna tanding sepak bola giat olahraga wisata olahraga
56,Masjid Al Jabbar,Masjid modern dengan desain megah dan area wisata religi yang menjadi ikon baru Jawa Barat.,Wisata Religi,Kota Bandung,91,Masjid modern dengan desain megah dan area wisata religi yang menjadi ikon baru Jawa Barat. Wisata Religi,masjid modern desain megah area wisata religi jadi ikon baru jawa barat wisata religi
57,Alun-Alun Ujung Berung,Ruang terbuka publik di kawasan Ujung Berung yang digunakan untuk rekreasi dan kegiatan masyarakat.,Taman Kota,Kota Bandung,99,Ruang terbuka publik di kawasan Ujung Berung yang digunakan untuk rekreasi dan kegiatan masyarakat. Taman Kota,ruang buka publik kawasan ujung berung guna rekreasi giat masyarakat taman kota
58,Alun-Alun Cicendo,"Alun-alun kota dengan area hijau, tempat bermain, dan fasilitas rekreasi keluarga.",Taman Kota,Kota Bandung,82,"Alun-alun kota dengan area hijau, tempat bermain, dan fasilitas rekreasi keluarga. Taman Kota",alunalun kota area hijau tempat main fasilitas rekreasi keluarga taman kota
59,Pasar Cihapit,Pasar tradisional terkenal di Bandung yang menawarkan kuliner khas dan kebutuhan harian masyarakat.,Wisata Kuliner,Kota Bandung,99,Pasar tradisional terkenal di Bandung yang menawarkan kuliner khas dan kebutuhan harian masyarakat. Wisata Kuliner,pasar tradisional kenal bandung tawar kuliner khas butuh hari masyarakat wisata kuliner
60,Pasar Kosambi,"Pasar tradisional populer yang menyediakan berbagai makanan khas, bahan pokok, dan kuliner lokal.",Wisata Kuliner,Kota Bandung,97,"Pasar tradisional populer yang menyediakan berbagai makanan khas, bahan pokok, dan kuliner lokal. Wisata Kuliner",pasar tradisional populer sedia bagai makan khas bahan pokok kuliner lokal wisata kuliner
61,Pasar Andir,"Pasar tradisional di Bandung yang menyediakan berbagai kebutuhan harian, kuliner, dan produk lokal.",Wisata Kuliner,Kota Bandung,99,"Pasar tradisional di Bandung yang menyediakan berbagai kebutuhan harian, kuliner, dan produk lokal. Wisata Kuliner",pasar tradisional bandung sedia bagai butuh hari kuliner produk lokal wisata kuliner
62,Cibadak Food Street,Kawasan wisata kuliner malam dengan berbagai makanan khas Bandung dan jajanan modern.,Wisata Kuliner,Kota Bandung,85,Kawasan wisata kuliner malam dengan berbagai makanan khas Bandung dan jajanan modern. Wisata Kuliner,kawasan wisata kuliner malam bagai makan khas bandung jajan modern wisata kuliner
63,Paskal Hyper Square,"Kawasan hiburan dan kuliner yang memiliki pusat belanja, restoran, dan area nongkrong modern.",Pusat Perbelanjaan,Kota Bandung,93,"Kawasan hiburan dan kuliner yang memiliki pusat belanja, restoran, dan area nongkrong modern. Pusat Perbelanjaan",kawasan hibur kuliner milik pusat belanja restoran area nongkrong modern pusat belanja
64,Kuliner Night Asia Afrika,Kawasan wisata malam di sekitar Jalan Asia Afrika yang menawarkan berbagai kuliner dan suasana kota heritage.,Wisata Kuliner,Kota Bandung,109,Kawasan wisata malam di sekitar Jalan Asia Afrika yang menawarkan berbagai kuliner dan suasana kota heritage. Wisata Kuliner,kawasan wisata malam jalan asia afrika tawar bagai kuliner suasana kota heritage wisata kuliner
65,Sudirman Street Day and Night Market,Pusat wisata kuliner modern dengan konsep pasar malam dan berbagai pilihan makanan lokal maupun internasional.,Wisata Kuliner,Kota Bandung,110,Pusat wisata kuliner modern dengan konsep pasar malam dan berbagai pilihan makanan lokal maupun internasional. Wisata Kuliner,pusat wisata kuliner modern konsep pasar malam bagai pilih makan lokal maupun internasional wisata kuliner
66,Taman Saturnus,Taman kota dengan area hijau dan fasilitas santai untuk aktivitas masyarakat sekitar.,Taman Kota,Kota Bandung,85,Taman kota dengan area hijau dan fasilitas santai untuk aktivitas masyarakat sekitar. Taman Kota,taman kota area hijau fasilitas santai aktivitas masyarakat taman kota
67,SPORT Jabar Arcamanik,Kawasan olahraga terpadu di Bandung yang menyediakan fasilitas olahraga dan rekreasi masyarakat.,Wisata Olahraga,Kota Bandung,96,Kawasan olahraga terpadu di Bandung yang menyediakan fasilitas olahraga dan rekreasi masyarakat. Wisata Olahraga,kawasan olahraga padu bandung sedia fasilitas olahraga rekreasi masyarakat wisata olahraga
68,GOR Arcamanik,Gedung olahraga yang digunakan untuk berbagai kegiatan olahraga dan event di Kota Bandung.,Wisata Olahraga,Kota Bandung,90,Gedung olahraga yang digunakan untuk berbagai kegiatan olahraga dan event di Kota Bandung. Wisata Olahraga,gedung olahraga guna bagai giat olahraga event kota bandung wisata olahraga
69,GOR dan Taman Saparua,Area olahraga dan taman publik yang menjadi tempat aktivitas olahraga serta rekreasi warga Bandung.,Wisata Olahraga,Kota Bandung,99,Area olahraga dan taman publik yang menjadi tempat aktivitas olahraga serta rekreasi warga Bandung. Wisata Olahraga,area olahraga taman publik jadi tempat aktivitas olahraga rekreasi warga bandung wisata olahraga
70,Museum Mandala Wangsit Siliwangi,Museum perjuangan yang menyimpan koleksi sejarah militer dan perjuangan masyarakat Jawa Barat.,Museum,Kota Bandung,94,Museum perjuangan yang menyimpan koleksi sejarah militer dan perjuangan masyarakat Jawa Barat. Museum,museum juang simpan koleksi sejarah militer juang masyarakat jawa barat museum
71,Monumen Perjuangan Rakyat Jawa Barat,Monumen sejarah yang dibangun untuk mengenang perjuangan rakyat Jawa Barat melawan penjajahan.,Wisata Sejarah,Kota Bandung,94,Monumen sejarah yang dibangun untuk mengenang perjuangan rakyat Jawa Barat melawan penjajahan. Wisata Sejarah,monumen sejarah bangun kenang juang rakyat jawa barat lawan jajah wisata sejarah
72,Gedung Isola,Bangunan berarsitektur kolonial yang menjadi ikon pendidikan dan wisata sejarah di Bandung.,Wisata Sejarah,Kota Bandung,91,Bangunan berarsitektur kolonial yang menjadi ikon pendidikan dan wisata sejarah di Bandung. Wisata Sejarah,bangun arsitektur kolonial jadi ikon didik wisata sejarah bandung wisata sejarah
73,Penjara Banceuy Bandung,Situs sejarah yang pernah menjadi tempat penahanan Ir. Soekarno pada masa perjuangan kemerdekaan.,Wisata Sejarah,Kota Bandung,97,Situs sejarah yang pernah menjadi tempat penahanan Ir. Soekarno pada masa perjuangan kemerdekaan. Wisata Sejarah,situs sejarah pernah jadi tempat tahan ir soekarno masa juang merdeka wisata sejarah
