Place_Id,Place_Name,Description,Category,City
1,Alun-Alun Bandung,"Alun-alun pusat kota Bandung dengan taman rumput sintetis luas, area bersantai keluarga, dan ikon ruang publik perkotaan.",Taman Kota,Kota Bandung
2,Gedung Sate,"Bangunan bersejarah peninggalan kolonial Belanda dengan arsitektur khas Indo-Eropa, kini menjadi kantor gubernur dan situs sejarah Kota Bandung.",Wisata Sejarah,Kota Bandung
3,Jalan Braga,"Jalan bersejarah dengan deretan bangunan kolonial klasik, kafe heritage, dan galeri seni di pusat sejarah Kota Bandung.",Wisata Sejarah,Kota Bandung
4,Trans Studio Bandung,"Taman hiburan indoor terbesar di Bandung dengan beragam wahana permainan, roller coaster, dan atraksi keluarga modern.",Taman Hiburan,Kota Bandung
5,Saung Angklung Udjo,"Pusat budaya Sunda dengan pertunjukan angklung tradisional, seni musik bambu, dan edukasi budaya khas Jawa Barat.",Wisata Budaya,Kota Bandung
6,Museum Geologi,"Museum edukasi yang menyimpan koleksi batuan, fosil purba, mineral, dan informasi sejarah geologi Indonesia.",Museum,Kota Bandung
7,Museum Konferensi Asia Afrika,Museum sejarah yang mendokumentasikan Konferensi Asia Afrika 1955 dan perjuangan negara-negara Asia-Afrika.,Museum,Kota Bandung
8,Taman Balai Kota,"Taman kota di area Balai Kota Bandung dengan fasilitas bermain anak, kolam ikan, dan ruang santai keluarga.",Taman Kota,Kota Bandung
9,Taman Film,Taman tematik dengan layar videotron besar untuk menonton film bersama komunitas di pusat Kota Bandung.,Taman Kota,Kota Bandung
10,Taman Lansia,"Taman hijau yang nyaman untuk olahraga ringan, jogging santai, dan rekreasi keluarga di pusat Kota Bandung.",Taman Kota,Kota Bandung
11,Taman Jomblo,"Taman tematik unik dengan kursi-kursi tunggal di bawah jembatan layang Pasupati, populer sebagai spot foto.",Taman Kota,Kota Bandung
12,Teras Cikapundung BBWS,"Wisata sungai dengan taman tepi sungai, jembatan, dan ruang publik di bantaran Sungai Cikapundung.",Wisata Alam,Kota Bandung
13,Chinatown Bandung,"Kawasan budaya Tionghoa dengan kuliner khas, dekorasi lampion klasik, dan spot foto bertema oriental.",Wisata Budaya,Kota Bandung
14,Bandung Planning Gallery,Galeri edukasi interaktif yang menampilkan sejarah perkembangan tata kota dan perencanaan masa depan Kota Bandung.,Wisata Edukasi,Kota Bandung
15,Nu Art Studio,Galeri seni dan studio karya patung milik seniman Nyoman Nuarta dengan koleksi seni modern dan kontemporer.,Wisata Seni,Kota Bandung
16,Amazing Artgames,"Tempat hiburan interaktif dengan wahana seni visual, permainan, dan spot foto kreatif modern.",Taman Hiburan,Kota Bandung
17,Paris Van Java Resort Lifestyle Place,"Pusat perbelanjaan modern dengan konsep outdoor yang menyediakan tenant belanja, kuliner, hiburan, dan area rekreasi keluarga.",Pusat Perbelanjaan,Kota Bandung
18,Paris Van Java Rooftop Garden,Area taman rooftop di Paris Van Java dengan ruang santai terbuka dan spot foto bertema pedesaan Eropa.,Taman Hiburan,Kota Bandung
19,Cihampelas Walk,Pusat perbelanjaan dan hiburan dengan konsep semi-outdoor di kawasan Cihampelas untuk belanja dan kuliner.,Pusat Perbelanjaan,Kota Bandung
